IDNUMBER,SMILES,predicts-2315,predicts-5444,predicts-5010,predicts-1936,predicts-4621,predicts-3199,predicts-9572,predicts-8469,predicts-6294,predicts-3483,predicts-5030,predicts-6894
AG-690/15430504,COc1ccc(cc1[N+](=O)[O-])C(=O)NC(Nc2c(C)cccc2(C))=S,0.1,0.1,0.3,0.1,0.1,0.1,0.4,0.7,0.2,0.1,0.3,0.1
AG-690/15430506,CCCCc1ccc(cc1)NC(NC(=O)c2ccc(OC)c(c2)[N+](=O)[O-])=S,0,0.3,0.1,0.4,0.1,0.3,0.3,0.2,0.1,0.5,0.3,0.3
AG-690/15430510,COc1ccc(cc1(OC))NC(NC(=O)c2ccc(OC)c(c2)[N+](=O)[O-])=S,0,0,0.1,0,0,0.1,0.1,0.1,0,0.1,0.1,0
AG-690/15430511,COc2ccc(NC(NC(=O)c1ccc(OC)c(c1)[N+](=O)[O-])=S)c(c2)OC,0,0.1,0,0.1,0,0.2,0.1,0.2,0.1,0.2,0.4,0.1
AG-690/15430514,COc2ccccc2(NC(NC(=O)c1ccc(OC)c(c1)[N+](=O)[O-])=S),0.1,0,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.3,0.4,0.2
AG-690/15430518,COc1ccc(cc1[N+](=O)[O-])C(=O)NC(Nc2ccc(C)c(c2)G)=S,0.1,0.1,0,0.2,0,0.1,0.1,0.1,0.3,0,0.1,0.1
AG-690/15430520,COc1ccc(cc1[N+](=O)[O-])C(=O)NC(Nc2ccccc2(F))=S,0.1,0,0,0.1,0.1,0,0.3,0.2,0.3,0,0,0.3
AG-690/15430523,CCN(CC)c1ccc(cc1)NC(NC(=O)c2ccc(OC)c(c2)[N+](=O)[O-])=S,0.1,0.3,0,0.1,0,0.7,0,0.1,0.6,0.2,0.6,0.1
AG-690/15430529,COc1ccc(cc1[N+](=O)[O-])C(=O)NC(Nc2ccc3ccccc3(c2))=S,0.1,0.1,0,0,0.1,0,0.2,0.1,0.2,0,0.1,0
AG-690/15430530,COC(=O)c1ccc(cc1)NC(NC(=O)c2ccc(OC)c(c2)[N+](=O)[O-])=S,0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.1,0,0.1
AG-690/15430532,CCCOC(=O)c1ccc(cc1)NC(NC(=O)c2ccc(OC)c(c2)[N+](=O)[O-])=S,0,0,0.2,0,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1
AG-690/15430539,COc1ccc(cc1)C(=O)NC(Nc2ccc(F)c(c2)[N+](=O)[O-])=S,0.2,0,0,0.2,0,0,0.1,0.1,0,0.1,0.1,0
AG-690/15430656,Cc1ccc(cc1)C(=O)NC(Nc2ccc(cc2G)[N+](=O)[O-])=S,0.1,0,0.1,0.1,0.1,0.3,0.1,0.2,0.1,0,0.1,0
AG-690/15430657,Cc1ccc(cc1)C(=O)NC(Nc2cc(ccc2G)[N+](=O)[O-])=S,0,0,0.1,0,0,0.1,0.2,0.4,0.1,0.1,0,0
AG-690/15430664,Cc1ccc(cc1)C(=O)NC(Nc2nc(cs2)c3cccc(c3)[N+](=O)[O-])=S,0.1,0,0,0.1,0,0,0,0,0.1,0,0.3,0
AG-690/15430728,COc2cc(ccc2(NC(NC(=O)c1ccc(C)cc1)=S))[N+](=O)[O-],0.1,0.1,0,0,0.1,0.1,0,0.1,0,0.1,0,0.2
AG-690/15430738,Cc1ccccc1C(=O)NC(Nc2cc(ccc2G)[N+](=O)[O-])=S,0.1,0,0.1,0.2,0.2,0.1,0.2,0.1,0,0.1,0.4,0
AG-690/15430740,Cc1ccccc1C(=O)NC(Nc2ccc(F)c(c2)[N+](=O)[O-])=S,0.1,0,0,0.2,0.2,0,0.1,0.4,0,0,0.5,0.1
AG-690/15430742,Cc1ccccc1C(=O)NC(Nc2ccccn2)=S,0.1,0,0.1,0,0,0,0,0.1,0,0.1,0.2,0
AG-690/15430791,Cc1ccccc1C(=O)NC(Nc2cccc(c2)c4nc3ccccc3s4)=S,0,0.2,0.2,0.2,0,0.1,0.4,0,0.3,0.1,0,0
AG-690/15430793,Cc1ccccc1C(=O)NC(Nc2cccc(c2(C))c4nc3ccccc3s4)=S,0,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.3,0.4,0.1,0.1
AG-690/15430829,Cc1ccccc1C(=O)NC(Nc2ccc(cc2)NC(=O)c3ccccc3)=S,0,0,0,0.1,0.1,0,0.1,0.1,0,0,0.1,0
AG-690/15430866,Cc1ccccc1C(=O)NC(Nc2ccc(cc2)N(C)C)=S,0,0.1,0.1,0.1,0,0,0.2,0.1,0.1,0,0.4,0.1
